LOGGED_AT (IST),DISTRICT,STATION,Local Region,TEMP,RH,EHI (in shade),Light Work Heat Stress Zone,EHI_350 (in shade),Hard Labor Heat Stress Zone,STATE,EHI (in shade °C),EHI_350 (in shade °C),EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
2025-05-24 07:56:14,UDALGURI,MAZBAT,,28.8,100.0,,Zone 5,,Zone 5,ASSAM,46.8,68.1,46.8,Zone 5,67.2,Zone 5,62.0,Zone 5,69.3,Zone 5,65.6,Zone 5,72.6,Zone 6,68.1,Zone 5,76.1,Zone 6
2025-05-24 07:56:14,UDALGURI,UDI_KVK,,28.2,80.0,,Zone 4,,Zone 5,ASSAM,31.1,61.6,31.1,Zone 4,60.5,Zone 5,37.9,Zone 4,63.5,Zone 5,54.6,Zone 5,65.8,Zone 5,61.6,Zone 5,67.5,Zone 5
2025-05-24 07:56:14,ARWAL,ARWAL_AWS400,,28.0,94.0,,Zone 4,,Zone 5,BIHAR,33.5,64.9,33.5,Zone 4,63.9,Zone 5,52.1,Zone 5,66.5,Zone 5,61.8,Zone 5,68.3,Zone 5,64.9,Zone 5,70.3,Zone 6
2025-05-24 07:56:14,AURANGABAD,AURANGABAD_KVK,,30.4,66.0,,Zone 4,,Zone 5,BIHAR,34.1,62.0,34.1,Zone 4,60.9,Zone 5,40.5,Zone 4,63.9,Zone 5,56.5,Zone 5,66.1,Zone 5,62.0,Zone 5,67.8,Zone 5
2025-05-24 07:56:14,BEGUSARAI,BEGUSARAI_KVK,,27.3,54.0,,Zone 4,,Zone 4,BIHAR,27.7,41.9,27.7,Zone 4,40.8,Zone 4,32.8,Zone 4,52.1,Zone 5,37.5,Zone 4,60.3,Zone 5,41.9,Zone 4,62.6,Zone 5
2025-05-24 07:56:14,BUXAR,BUXAR,,28.1,78.0,,Zone 4,,Zone 5,BIHAR,30.9,61.1,30.9,Zone 4,60.0,Zone 5,37.5,Zone 4,63.1,Zone 5,52.3,Zone 5,65.4,Zone 5,61.1,Zone 5,67.2,Zone 5
2025-05-24 07:56:14,BUXAR,DUMARAON,,28.0,93.0,,Zone 4,,Zone 5,BIHAR,33.3,64.7,33.3,Zone 4,63.7,Zone 5,50.8,Zone 5,66.2,Zone 5,61.5,Zone 5,68.1,Zone 5,64.7,Zone 5,69.9,Zone 6
2025-05-24 07:56:14,DARBHANGA,DARBANGHA_ARG,,29.3,90.0,,Zone 4,,Zone 5,BIHAR,37.2,66.6,37.2,Zone 4,65.7,Zone 5,59.7,Zone 5,68.0,Zone 5,63.8,Zone 5,69.9,Zone 6,66.6,Zone 5,73.4,Zone 6
2025-05-24 07:56:14,DARBHANGA,DARBHANGA,,28.0,82.0,,Zone 4,,Zone 5,BIHAR,31.4,62.1,31.4,Zone 4,61.0,Zone 5,38.3,Zone 4,64.0,Zone 5,56.8,Zone 5,66.2,Zone 5,62.1,Zone 5,67.8,Zone 5
2025-05-24 07:56:14,DARBHANGA,DARBHANGA_AWS400,,26.9,94.0,,Zone 4,,Zone 5,BIHAR,30.9,63.1,30.9,Zone 4,62.1,Zone 5,41.8,Zone 5,64.9,Zone 5,59.7,Zone 5,67.0,Zone 5,63.1,Zone 5,68.5,Zone 5
